E	N	H	Rho1	Rho2	Rho3	Rho4	Rho5	Rho6	Gamma	BFI	lfd. Nr.	Datum	Zeit
			178.7545617	240.9602687	362.7750821	158.5631564		113.2876533	1.128202921	0.631146366	1	44845	09:43:12.000
			156.8304315	134.2788631	262.7985974	143.1153358		104.5884666	1.136072844	0.724395663	2	44845	09:43:13.000
			136.0944742	93.7762886	227.3189495	137.117155		96.06871968	1.143462299	0.840197448	3	44845	09:43:14.000
14.06820667	52.45629501	68.35500336	116.0120295	74.25913165	198.9030002	137.7566217		92.64918361	1.14406445	0.98616019	4	44845	09:43:15.000
14.06820333	52.45628001	68.27100372	99.40857926	56.3462016	185.1786069	115.3872459		90.4564025	1.136927725	1.143691755	5	44845	09:43:16.000
14.06820333	52.456265	68.22599793	88.80935166	51.48047961	178.893821	110.2923539		87.66632843	1.140699423	1.284436157	6	44845	09:43:17.000
14.068205	52.45624835	68.14900208	82.79045234	52.86540876	154.8225126	97.43548676		84.15756456	1.152132485	1.391624822	7	44845	09:43:18.000
14.06821	52.45623166	68.08200073	81.68749626	56.11969167	135.8981161	90.77943919		89.17143488	1.158151221	1.417782738	8	44845	09:43:19.000
14.06822	52.456215	68.0019989	83.36270965	60.79708555	120.7874973	83.16748577		92.07611128	1.172161589	1.406098235	9	44845	09:43:20.000
14.06823333	52.4562	67.94200134	86.96037381	67.44865488	104.7598139	82.52746929		93.93097551	1.192125243	1.370883301	10	44845	09:43:21.000
14.06824667	52.45618668	67.87200165	88.68254302	73.36366854	86.82073373	79.76379749		97.44145655	1.193887459	1.346248561	11	44845	09:43:22.000
14.068265	52.45617333	67.79199982	88.06843153	75.84128469	80.70852812	88.11116953		107.965389	1.185880338	1.346544179	12	44845	09:43:23.000
14.06828334	52.45616166	67.71600342	85.5544593	75.60690514	78.38021411	96.67412588		108.6204096	1.175505194	1.373984715	13	44845	09:43:24.000
14.06830333	52.45614999	67.61599731	82.24069729	76.0047967	81.86927258	96.08688008		110.1190881	1.16122838	1.411987517	14	44845	09:43:25.000
14.06832167	52.45613833	67.5530014	78.67949682	76.24452317	88.92349483	106.6490425		112.2805467	1.145561077	1.455984244	15	44845	09:43:26.000
14.06834	52.45612666	67.50499725	77.21554608	77.81878293	99.0080554	108.7535258		111.6310409	1.135215525	1.470190374	16	44845	09:43:27.000
