"X";"Y";"H";"Rho1";"Rho2";"Rho3";"Rho4";"Rho5";"Rho6";"Gamma"
14.46218999;52.36461166;85.5;70;93;107;125;126;143;1.32
14.46222;52.36460667;85.4;83;98;123;141;124;158;1.3
14.46225335;52.36461;86;99;135;138;156;153;178;1.27
14.46228167;52.36460168;85.8;118;145;153;164;190;173;1.26
14.46230501;52.36459665;85.7;138;163;155;154;169;153;1.23
14.46236668;52.36457001;85.1;154;149;144;132;159;124;1.22
14.462415;52.36454668;84.6;148;149;121;103;117;93;1.22
14.46243165;52.36454001;84.6;133;103;93;71;97;50;1.24
14.46244501;52.36453333;84.6;110;97;61;40;45;28;1.3
14.462605;52.36447334;86.8;81;49;36;23;23;17;1.33
14.46277666;52.36431001;85.8;49;39;21;15;17;12;1.35
14.46278165;52.36430168;86.1;35;22;14;11;12;10;1.37
14.46278334;52.36429332;86.1;28;20;11;10;10;10;1.37
14.46278499;52.36428334;86.1;23;16;11;10;11;11;1.34
14.46278165;52.36426999;85.1;22;18;11;10;10;11;1.36
14.46278165;52.36425832;85.2;23;16;11;10;10;11;1.37
14.46277835;52.36424666;85.1;22;16;12;9;12;12;1.39
14.46277501;52.36423833;85.1;21;15;12;9;9;11;1.4
14.46277167;52.36422834;85.2;21;16;12;9;10;10;1.41
14.46276668;52.36422666;85.8;20;17;11;9;10;10;1.43
14.46276;52.36421668;85.9;19;15;10;8;8;9;1.44
14.46275333;52.36420835;85.9;18;13;10;8;9;8;1.45
14.46274335;52.36419999;85.8;17;13;9;8;8;8;1.47
14.46272999;52.36418832;85.3;16;13;9;8;9;8;1.48
14.46271668;52.36417999;85.3;16;14;9;8;9;8;1.49
14.46269833;52.364175;85.4;16;13;9;8;9;8;1.5
14.46268168;52.36416833;85.5;15;13;9;8;9;8;1.51
14.46266333;52.36416334;85.6;15;13;9;9;8;8;1.51
14.46264499;52.36415834;85.7;15;13;9;9;8;8;1.51
14.46262833;52.36416;86.2;15;11;9;9;9;8;1.51
14.46261168;52.36415501;86.3;15;14;9;9;9;8;1.51
14.46259499;52.36415167;86.3;16;15;9;9;8;8;1.5
14.46257668;52.36414668;86.2;16;14;9;9;8;8;1.5
14.46255999;52.36414334;86.3;16;14;9;9;8;8;1.5
14.46254168;52.36414166;86.4;17;14;9;9;8;8;1.5
14.46252499;52.36413835;86.5;17;12;10;9;9;8;1.49
14.46250499;52.36412999;86.3;17;15;10;9;7;8;1.48
14.46248001;52.36412001;86.3;17;14;10;9;10;9;1.46
14.46239834;52.36410834;87.7;18;14;10;9;10;9;1.45
14.46237001;52.36410335;87.8;18;13;10;9;9;9;1.45
14.462345;52.36410001;88.7;17;13;10;9;9;9;1.45
14.46231667;52.36409334;88.8;17;14;10;9;9;9;1.45
14.46229;52.36408835;88.9;18;12;10;10;9;9;1.45
14.46226333;52.36408167;88.9;18;15;10;10;10;9;1.44
14.46223666;52.36407668;89;19;16;10;10;11;10;1.43
14.46220999;52.36407166;89.2;20;15;11;10;11;10;1.41
14.46218001;52.36406333;89.3;20;17;11;10;10;10;1.39
