X;Y;H;Rho1;Rho2;Rho3;Rho4;Rho5;Rho6;Gamma;BFI;lfd. Nr.;Datum;Zeit
13.98656832;52.91167666;45.11700058;110.376611;94.12349098;104.0140067;112.4563359;;73.56790396;1.517664879;1.374987749;1;44854;11:43:32.000
13.98660164;52.91167666;45.05500031;134.0025526;117.2744033;114.5194361;122.6889596;;71.93035838;1.515668667;1.131074474;2;44854;11:43:33.000
13.98663;52.91168334;45.04100037;169.2347018;138.4257343;131.4559128;132.1075139;;67.40667461;1.496122928;0.884052096;3;44854;11:43:34.000
13.9866567;52.91169497;45.02299881;203.6941432;148.4553119;131.4669121;131.7226857;;61.65014835;1.467252063;0.720321184;4;44854;11:43:35.000
13.98667831;52.91170998;44.98099899;222.3018502;144.9653434;122.1203644;126.9550703;;55.55913511;1.447608374;0.65119043;5;44854;11:43:36.000
13.98669669;52.91172835;44.97900009;223.9261002;132.6622187;108.6822771;119.8242634;;50.3248287;1.433892987;0.640342053;6;44854;11:43:37.000
13.98671335;52.91174831;44.98099899;208.8182833;112.0941791;103.6944621;115.786385;;49.52569583;1.42738642;0.683554331;7;44854;11:43:38.000
13.98673;52.91176999;45.02099991;179.1230069;90.36560867;95.18152944;118.209214;;51.51613326;1.441606881;0.804813913;8;44854;11:43:39.000
13.98674501;52.91179002;45.07799912;153.2476847;79.11173029;92.30275879;134.7968305;;55.67849853;1.459058905;0.952091973;9;44854;11:43:40.000
13.98676167;52.91181164;45.12799835;148.882161;80.07063755;95.77116743;155.5685725;;60.64953304;1.464507607;0.983668962;10;44854;11:43:41.000
13.98677832;52.91183497;45.24100113;166.2875146;82.45129387;116.2546741;175.7360432;;65.88192823;1.470964003;0.884590768;11;44854;11:43:42.000
13.98679498;52.9118583;45.29199982;192.766365;88.14128578;128.9962228;200.4391445;;65.46540925;1.472483607;0.763869572;12;44854;11:43:43.000
13.98681164;52.91188164;45.31600189;229.2247234;94.447989;134.1413387;215.5395821;;63.91018416;1.471950104;0.64214282;13;44854;11:43:44.000
13.98682836;52.91190497;45.36800003;259.8582632;94.01062955;144.9053945;225.8707759;;62.46835827;1.472592878;0.566690803;14;44854;11:43:45.000
13.98684502;52.9119283;45.41799927;277.6187308;88.24078072;144.4757577;253.5567929;;60.52735468;1.47282264;0.53051991;15;44854;11:43:46.000
13.98686333;52.91195164;45.43399811;284.7039349;83.17263785;149.2325405;267.941756;;59.16394085;1.466584817;0.51512629;16;44854;11:43:47.000
13.98688164;52.91197497;45.47700119;285.7225853;71.55995402;150.9947837;258.2821599;;64.21672013;1.457747329;0.510196745;17;44854;11:43:48.000
13.98690001;52.9119983;45.51200104;270.7922945;59.67307816;139.1984724;245.5868071;;69.82517551;1.450410586;0.535617377;18;44854;11:43:49.000
13.98691667;52.91202164;45.54299927;252.3613737;50.39678021;137.571268;224.3947479;;73.41850069;1.447719878;0.57366936;19;44854;11:43:50.000
13.98693498;52.91204669;45.57400131;226.6966679;40.24579752;111.2597613;176.207792;;79.79333329;1.451286809;0.640188858;20;44854;11:43:51.000
13.98695335;52.91207167;45.625;192.081624;30.66201319;92.08180987;142.1876011;;82.70741089;1.46024675;0.760221993;21;44854;11:43:52.000
13.98697001;52.91209666;45.68399811;158.0696826;28.89625217;82.72626787;135.3262007;;82.56944814;1.470916271;0.930549266;22;44854;11:43:53.000
13.98698832;52.91211999;45.73500061;132.7775219;28.2434415;72.31239162;137.8358968;;80.92846977;1.483177186;1.117039364;23;44854;11:43:54.000
13.98700498;52.91214167;45.79899979;116.5076648;29.16099566;79.33578407;145.6176742;;77.36919273;1.493325165;1.281739848;24;44854;11:43:55.000
