Datum	Zeit	Log.Rho.1	Log.Rho.2	Log.Rho.3	Log.Rho.4	Log.Rho.5	Log.Rho.6	Rho.1	Rho.2	Rho.3	Rho.4	Rho.5	Rho.6	Rho.Phase.1	Rho.Phase.2	Rho.Phase.3	Rho.Phase.4	Rho.Phase.5	Rho.Phase.6	Gamma	GGA..East.or.West.	GGA.Longitude_2	GGA.Longitude_1	GGA..North.or.South.	GGA.Latitude_2	GGA.Latitude_1	GGA.UTC.sec	GGA.Latitude	GGA.Antenna.Altitude.above.below.mean.sea.level..geoid.	GGA.Longitude	VTG.Speed..km.h.	VTG.Bearing	GGA.UTC.min	GGA.UTC.h	GAMMA.C	GAMMA.F	Gamma.OK	PS.OK	GPS.OK	Achse.1.U.FFT.Frq	Achse.1.U.PP	Achse.4.U.FFT.Frq	Achse.4.U.PP	Achse.5.U.FFT.Frq	Achse.5.U.PP	Achse.6.U.FFT.Frq	Achse.6.U.PP	Achse.0.U.FFT.Frq	Achse.0.U.P	Achse.0.U.PP	Achse.2.U.FFT.Frq	Achse.2.U.PP	Achse.0.I.FFT.Frq	Achse.3.U.FFT.Frq	Achse.3.U.PP	Achse.0.I.P	Achse.0.I.PP	Strecke.absolut	V	N	E	H	Kurs	Strecke.gesammt	X
31.01.2024	15:14:05.000	2.722793833	2.470616852	2.326591753	2.192304256	0.852060026	2.16986588	528.19444887	295.540396975	212.124950259	155.705608402	7.113118214	147.865167794	527.99703005	293.024042933	211.907943014	150.895021177	6.581329078	102.898113892	0.97305332	2755.261	18.920499802	13	722209856	21.002300262	52	44	52.350038338	37.066001892	13.315341663	5.099999905	200.399993896	44	13	11098	838.522521973	0	1	1	190	3089.726155384	2.5	58.877471619	50	4.9829486	2.5	35.91478085	190	52.323225279	104.11215449	190	546.410712386	190	190	127.702959043	9.518266292	22.690893572	5031.04351346	5.099999905	52.350038338	13.315341663	37.066001892	200.399993896	0.00519021	NA
31.01.2024	15:14:06.000	2.725285624	2.54889843	2.446318612	2.240855577	0.51545835	2.208179419	531.233708073	353.914560328	279.45932933	174.122773999	3.276863491	161.502563158	531.159967562	353.235173022	278.954774965	166.586005095	2.1443494	119.521646764	0.939747952	2755.261	18.920000076	13	722209856	21.001600266	52	45	52.350026671	37.066001892	13.315333335	5.079999924	201.199996948	44	13	12010	960.158325195	0	1	1	190	3434.926476176	190	47.868493072	50	4.807114888	2.5	37.97412145	190	52.280846374	104.122287281	190	598.788297104	190	190	151.279577689	9.615421868	22.943021234	5031.044908466	5.079999924	52.350026671	13.315333335	37.066001892	201.199996948	0.006585216	NA
31.01.2024	15:14:07.000	2.753471881	2.560646635	2.407804503	2.252872122	0.917469089	2.295068825	566.85486817	363.619056235	255.743440233	179.007868936	8.269306496	197.273534176	566.850258546	362.920535035	255.740226663	167.24144084	8.055767302	131.433940911	0.961356024	2755.261	18.919599533	13	722209856	21.000900269	52	46	52.350015004	37.062000275	13.315326659	5.139999866	200.5	44	13	13024	964.421020508	0	1	1	190	4124.984391033	2.5	66.259507314	50	5.131960221	2.5	43.022635163	190	52.21551968	104.087239747	190	734.642191806	190	190	184.953223762	9.660721401	23.042262974	5031.046341782	5.139999866	52.350015004	13.315326659	37.062000275	200.5	0.008018531	NA
31.01.2024	15:14:08.000	2.810919551	2.629714824	2.590929193	2.425442519	1.178307524	2.395624863	647.022749857	426.299500904	389.878416294	266.343755599	15.076742718	248.670840694	646.849509593	425.459756353	389.841928578	255.55465654	14.883568621	198.069237979	0.995365887	2755.261	18.919099808	13	722209856	21.000200272	52	47	52.350003338	37.041999817	13.31531833	5.21999979	199.800003052	44	13	14000	983.913330078	0	1	1	190	4410.356546066	190	104.111439235	50	4.73558931	2.5	43.892863029	190	52.246037259	104.133910187	190	948.980507194	190	190	270.286218541	10.996163547	25.73013459	5031.047775652	5.21999979	52.350003338	13.31531833	37.041999817	199.800003052	0.009452401	NA
31.01.2024	15:14:09.000	2.827424026	2.668211389	2.619065813	2.47642252	0.973847013	2.423944938	672.0847272	465.812768562	415.973641997	299.517719369	9.415578588	265.426902148	671.727943977	456.559167608	415.869237817	294.339445535	8.705655763	218.621680996	0.979858331	2755.261	18.918600082	13	722209856	20.999300003	52	48	52.349988333	37.028999329	13.315310001	6.539999962	199.600006104	44	13	14983	990.143005371	0	1	1	190	4481.345682224	2.5	89.785462009	50	4.795193958	2.5	47.627094247	190	52.248719469	104.13689042	190	926.271136181	190	190	243.988647699	10.209084166	24.134816178	5031.049397955	6.539999962	52.349988333	13.315310001	37.028999329	199.600006104	0.011074705	NA
31.01.2024	15:14:10.000	2.803288581	2.706082659	2.622451905	2.46717102	1.009691988	2.380948402	635.753237669	508.256169538	419.229567342	293.204762349	10.225675067	240.40771569	635.633880137	502.38936723	419.179128137	288.41870628	9.022969355	202.831135429	0.973372888	2755.261	18.918100357	13	722209856	20.998399734	52	49	52.349973329	37.006000519	13.315301673	6.21999979	199	44	13	15947	1004.088012695	0	1	1	190	3307.104307837	190	72.11268378	50	4.678964894	2.5	47.260525659	190	52.179995309	104.083663469	190	710.994047582	190	190	215.005887449	8.909404809	21.604896879	5031.051168609	6.21999979	52.349973329	13.315301673	37.006000519	199	0.012845358	NA
31.01.2024	15:14:11.000	2.756741288	2.666263125	2.546319482	2.416598312	0.464581439	2.408323219	571.138304212	463.727792292	351.81915569	260.974642822	2.914616631	256.049079511	569.59150765	459.019037416	351.817801704	259.288033601	-0.20716605	210.134617396	0.981753836	2755.261	18.917600632	13	722209856	20.997600555	52	50	52.349960009	36.988998413	13.315293344	6.079999924	199.699996948	44	13	16947	979.938110352	0	1	1	190	3593.996381402	190	73.775653468	50	4.702806753	2.5	42.137506136	190	52.241149678	104.135817536	190	727.787657248	190	190	184.109817988	9.32961758	22.446514514	5031.052892351	6.079999924	52.349960009	13.315293344	36.988998413	199.699996948	0.014569101	NA
31.01.2024	15:14:12.000	2.802251639	2.657634755	2.525201315	2.338504157	0.884256138	2.314489676	634.237094127	454.605572425	335.120746432	218.023926356	7.660482731	206.295462861	633.719490085	441.718346874	334.551434646	210.231411874	6.254550227	150.569407977	0.982786163	2755.261	18.917100906	13	722209856	20.996700287	52	51	52.349945005	36.993999481	13.315285015	6.340000153	199.399993896	44	13	17913	1059.211791992	0	1	1	190	4086.807613779	190	95.975404738	50	5.272031145	2.5	43.612721182	190	52.212181819	104.10637284	190	835.970093964	190	190	226.342691561	10.374785088	24.575890575	5031.054603474	6.340000153	52.349945005	13.315285015	36.993999481	199.399993896	0.016280223	NA
31.01.2024	15:14:13.000	2.794189086	2.639424022	2.534290967	2.376475994	0.803244756	2.363842344	622.571284662	435.937292006	342.208637663	237.94467715	6.356890865	231.122562718	622.384729948	433.418827727	342.179989105	232.70360417	5.294280129	173.44337823	0.978357608	2755.261	18.916500092	13	722209856	20.995800018	52	52	52.34993	36.983001709	13.315275002	6.489999771	201.100006104	44	13	18902	964.675170898	0	1	1	190	3604.084468131	190	84.665422718	50	4.559755597	190	38.284065621	190	52.235189213	104.129022606	190	753.790185081	190	190	191.310059506	9.648800471	23.136438318	5031.056413307	6.489999771	52.34993	13.315275002	36.983001709	201.100006104	0.018090057	NA
31.01.2024	15:14:14.000	2.821964309	2.662351635	2.501355017	2.359426731	1.081585373	2.343101341	663.688524856	459.569961611	317.215950792	228.784569887	12.066612677	220.344056897	663.631523727	455.328178149	317.165763511	214.341211221	11.25282965	161.212443247	0.993124493	2755.261	18.916000366	13	722209856	20.99489975	52	53	52.349914996	36.97600174	13.315266673	6.659999847	200	44	13	19899	954.989929199	0	1	1	190	4024.90818649	190	70.962314067	50	4.836917212	2.5	40.99607712	190	52.237871423	104.140645512	190	823.184896897	190	190	211.682928305	8.975863992	21.745265826	5031.058212994	6.659999847	52.349914996	13.315266673	36.97600174	200	0.019889744	NA
