E,N,H,Rho 1,Rho 2,Rho 3,Rho 4,Rho 5,Rho 6,Gamma,V,Kurs,Strecke gesammt,GWI
13.26847833,52.19972334,43.52399826,383.3412754,392.4398309,390.9943859,323.0014562,1.224050819,356.8579046,0.918156436,5.679999828,336.7000122,0.010826781,0.239514108
13.26847,52.19973666,43.52799988,310.6604403,339.5632888,265.9037072,249.0684499,1.896327203,545.7704238,0.956411679,6.010000229,344.1000061,0.012447955,0.307864007
13.26846835,52.19975166,43.56499863,461.2130398,486.5029948,490.5405769,410.9541006,1.005127597,340.8536091,0.947752359,6.429999828,0,0.014175154,0.205491232
13.26847,52.19977001,43.63000107,364.1160187,408.5137896,327.8271919,253.527797,1.28747312,285.953154,0.947737341,7.460000038,9.300000191,0.016104473,0.26028444
13.26847668,52.19978666,43.7120018,453.758782,491.1715416,450.5323344,927.5622321,1.986300069,318.4701217,0.943806845,7.570000172,18.89999962,0.018213103,0.207997483
13.26848501,52.19980501,43.79100037,260.5693096,510.8437384,277.8840389,215.0165154,2.330769999,231.2968132,0.932937161,7.75,20.5,0.020354139,0.358038006
13.26849667,52.19982333,43.88600159,328.8535172,431.6800429,432.2817759,421.7361264,0.31980697,460.1012529,0.929087897,7.460000038,23.39999962,0.022463586,0.282523327
13.26850999,52.19984001,43.98099899,214.0301914,275.0470006,293.9664983,186.6215472,1.278030626,246.1637425,0.881581177,7.889999866,26.10000038,0.024563586,0.41189571
13.26869167,52.20008667,45.29700089,245.1408154,236.042191,292.3095087,186.1054564,3.469200139,243.2855524,0.938027673,11.23999977,25.5,0.030835189,0.382648508
13.26871166,52.20011333,45.41400147,380.3922678,309.2263751,203.4323846,166.5862679,3.927038654,194.3207123,0.926243011,11.86999989,24.39999962,0.034071141,0.243496803
13.26873166,52.20014,45.51699829,569.1977231,483.7811204,313.3987877,250.5999017,1.555357891,248.479541,0.9199418,12.23999977,25.5,0.037436227,0.16162078
13.26875334,52.20016834,45.60699844,490.1420008,424.4856031,296.4203642,216.4200072,1.893745149,240.9204624,0.921249313,12.39999962,25.60000038,0.040859537,0.187955595
13.26877499,52.200195,45.68299866,334.3890335,554.9684176,340.3544199,184.8934651,0.731623027,286.2412116,0.902085333,12.52000046,26.70000076,0.044275969,0.269771207
13.26879667,52.20022334,45.76100159,523.5029967,424.5977561,318.0122608,230.8864166,3.343432919,330.2947922,0.932621149,11.92000008,26.79999924,0.047661462,0.178150107
13.26881835,52.20025001,45.83499908,455.8228799,392.639339,276.4666143,216.7704287,0.461649631,225.1503797,0.943009567,12.22999954,26.5,0.051020496,0.206880701
13.26884168,52.20027666,45.88299942,360.7592915,267.7433355,230.8002918,187.6284558,2.773798545,304.0422956,0.896698721,12.07999992,25,0.054395521,0.248558732
13.26886168,52.200305,45.94900131,330.3643942,250.6369038,196.8684381,166.3016436,0.507824567,2587.191692,0.866215964,12.11999989,23.10000038,0.057752992,0.262200158
