E;N;H;Rho1;Rho2;Rho3;Rho4;Rho5;Rho6;Gamma;BFI;lfd. Nr.;Datum;Zeit
13.91638997;52.94340502;55.00899887;294.6754663;167.7370256;267.1677755;338.4118387;2.96451726;407.3214657;1.433140034;0.486345216;4;44854;14:54:23.000
13.91635831;52.94339333;55.05500031;315.4969083;178.6247501;240.9543365;322.1922187;2.567681842;436.3033109;1.428535156;0.452788956;5;44854;14:54:24.000
13.916325;52.94338169;55.11999893;335.8988416;196.8448256;277.6783565;363.3583722;2.028477503;481.804434;1.432231809;0.426387838;6;44854;14:54:25.000
13.91629003;52.94336999;55.1780014;351.3841824;214.7148339;352.7378716;385.1244843;1.568395887;501.949712;1.445738717;0.411441035;7;44854;14:54:26.000
13.91625334;52.94335836;55.30699921;357.2897176;240.6320813;405.89055;427.4305738;1.610071378;509.9579714;1.458029589;0.408080478;8;44854;14:54:27.000
13.91621666;52.94334666;55.38199997;358.0173347;262.9035191;459.5885551;455.4930265;1.69817108;506.96518;1.46410606;0.408948371;9;44854;14:54:28.000
13.91617832;52.94333668;55.45800018;352.3710175;283.2416017;468.2856514;457.4170098;1.922797126;485.3299884;1.475760162;0.418808611;10;44854;14:54:29.000
13.91614164;52.9433267;55.41600037;346.3367242;299.9392019;466.0050033;411.092787;2.1503362;441.6392117;1.483788878;0.428423778;11;44854;14:54:30.000
13.91610502;52.943315;55.49000168;349.2636773;314.3495705;424.5692323;402.0857899;2.546434084;402.9536553;1.477515209;0.423037179;12;44854;14:54:31.000
13.91606998;52.94330165;55.54199982;359.5912223;318.2311677;393.8340528;367.5110626;2.781516992;377.9676514;1.478302288;0.411106333;13;44854;14:54:32.000
13.91603502;52.94328664;55.56900024;370.9833533;331.0413195;344.2825492;337.3840514;2.99249786;359.3409336;1.486199315;0.400610783;14;44854;14:54:33.000
13.91599833;52.94327335;55.65800095;388.8772401;337.3451044;352.1900422;321.7846411;3.035191325;356.3056767;1.48235668;0.38118885;15;44854;14:54:34.000
13.91595999;52.94325835;55.73300171;398.5969049;347.4280978;352.8449593;349.0863655;3.025396857;388.7159713;1.480602135;0.371453495;16;44854;14:54:35.000
13.91592331;52.94324335;55.7879982;399.3336606;359.8811416;366.657384;403.1183253;2.690074727;459.8522266;1.482324228;0.371199419;17;44854;14:54:36.000
13.91588669;52.94322669;55.83800125;396.1245267;382.5347584;375.2194481;454.1193849;2.294914665;542.8003835;1.487180322;0.375432527;18;44854;14:54:37.000
13.91585166;52.94321334;55.89400101;396.9838051;408.6982913;403.3574021;477.3600381;1.811885738;632.3313954;1.486984494;0.374570568;19;44854;14:54:38.000
13.91581669;52.94319998;55.95800018;398.6858833;447.8452799;398.4181221;564.8759575;1.425672976;724.2757592;1.474840693;0.369925486;20;44854;14:54:39.000
13.91578331;52.94318498;55.97999954;413.3641557;483.6678971;378.4141001;567.6227663;1.104812342;804.8900233;1.459172676;0.352999324;21;44854;14:54:40.000
13.91574834;52.94317169;56.03699875;437.7012671;530.1378157;341.009738;594.6980691;1.048668453;833.7903229;1.454350156;0.332270036;22;44854;14:54:41.000
13.91571166;52.94315669;56.08300018;467.5747523;569.1316798;313.9634278;550.451908;1.083085699;840.7330517;1.439026907;0.307764031;23;44854;14:54:42.000
13.91567497;52.94314003;56.13700104;495.2395075;598.3332291;279.9843836;567.6660118;1.417549826;818.4920561;1.425436731;0.28782775;24;44854;14:54:43.000
13.9156367;52.94312503;56.20899963;517.5397314;605.8420566;274.9737643;505.8863288;1.752279535;772.0164341;1.435548331;0.277379348;25;44854;14:54:44.000
13.91560001;52.9431083;56.29100037;527.0496566;602.344686;286.8936546;506.4037482;2.125355241;706.3742789;1.448379944;0.27480901;26;44854;14:54:45.000
13.91556333;52.94309502;56.28699875;524.2332267;573.9998966;340.0659652;487.7276592;2.396306054;660.6999811;1.446410147;0.275909666;27;44854;14:54:46.000
13.91552664;52.94308001;56.39400101;507.5047665;535.109868;387.8347128;481.4674893;2.559311624;619.7255574;1.450274069;0.285765605;28;44854;14:54:47.000
13.91549002;52.94306501;56.49599838;481.7313608;491.1640566;449.7051232;509.4301151;2.543186965;584.0015275;1.454165589;0.301862346;29;44854;14:54:48.000
13.91545169;52.94305;56.60300064;450.0725393;459.8759248;495.8927721;475.4486602;2.580379722;555.7935801;1.444223816;0.320886899;30;44854;14:54:49.000
13.915415;52.943035;56.65200043;424.7478395;442.3814424;536.8223444;524.0192681;2.666032137;514.6913414;1.436385365;0.338173672;31;44854;14:54:50.000
13.91537832;52.94302165;56.73400116;406.4504574;445.1916353;538.1067476;497.1394292;2.837702217;480.9250212;1.436897784;0.353523476;32;44854;14:54:51.000
13.9153417;52.94300664;56.82099915;400.7652029;466.6228314;530.441721;489.7013046;3.14343193;451.0709272;1.43884803;0.35902519;33;44854;14:54:52.000
13.91530501;52.94299164;56.90800095;406.3447393;496.1977414;503.4442981;434.8857405;3.343241823;439.3266061;1.44308515;0.35513814;34;44854;14:54:53.000
13.91526667;52.9429767;56.98300171;427.4082922;532.07339;469.2493116;427.1184342;3.415088095;436.1357318;1.451708945;0.339653903;35;44854;14:54:54.000
13.91522834;52.94295998;57.04399872;453.1954189;561.8077069;437.5584494;451.0548532;3.442911448;460.9594074;1.451646652;0.32031362;36;44854;14:54:55.000
13.91519;52.94294497;57.09799957;477.4661719;580.1465302;406.454506;420.720189;3.430039991;455.6108525;1.444979957;0.302635044;37;44854;14:54:56.000
13.91515166;52.94292831;57.14400101;495.7767194;584.6215655;378.0615847;381.5732357;3.280504114;433.4228507;1.435982219;0.289642931;38;44854;14:54:57.000
13.91511332;52.94291331;57.16899872;507.3743827;575.8300638;353.9387509;368.1648247;3.2999529;394.1365789;1.43255192;0.282346127;39;44854;14:54:58.000
13.91507664;52.94289831;57.22900009;507.394703;546.1781759;336.8904283;306.7464716;3.284236748;353.2082159;1.427559421;0.281350872;40;44854;14:54:59.000
13.91503836;52.94288336;57.26900101;495.9556261;506.5046503;295.5206697;268.571565;3.281785662;305.0445573;1.413892803;0.285084537;41;44854;14:55:00.000
13.91500168;52.94286836;57.31800079;481.0477982;462.7660201;278.3161774;262.2955843;3.301387224;277.9865543;1.401509806;0.291345228;42;44854;14:55:01.000
13.91496499;52.94285336;57.37599945;462.5042207;422.4334598;257.667724;253.7293988;3.493311868;259.6979958;1.394845696;0.301585506;43;44854;14:55:02.000
13.91492666;52.94283835;57.38000107;444.9751569;384.6772342;224.7802603;211.0460419;3.675839611;244.1347196;1.385276017;0.311315361;44;44854;14:55:03.000
13.91488832;52.94282169;57.41600037;428.2556106;356.0916975;195.5824369;193.8772888;4.189219571;219.6272964;1.383806876;0.323126386;45;44854;14:55:04.000
13.9148517;52.94280834;57.46099854;416.6377378;335.4349444;194.1570602;179.7830243;4.65397243;189.1862129;1.393439388;0.334448674;46;44854;14:55:05.000
13.91481336;52.94279334;57.50899887;404.1881673;313.3524879;182.8940896;157.816057;5.000608929;160.6674824;1.39449173;0.345010528;47;44854;14:55:06.000
13.91477668;52.94277999;57.55599976;394.7594769;287.261674;180.8849027;141.6988589;5.165850239;138.4313183;1.39628397;0.35370499;48;44854;14:55:07.000
13.91473668;52.94276498;57.59899902;384.7971499;268.150709;194.426998;150.4697252;5.252487362;122.6348251;1.402127189;0.364380866;49;44854;14:55:08.000
13.91469669;52.94274998;57.63000107;376.5613651;255.2101028;202.2949481;147.7976418;5.018181787;115.3504849;1.409049021;0.37418842;50;44854;14:55:09.000
13.91465836;52.94273497;57.70299912;372.387596;241.2809104;196.0133096;146.8132887;4.722393494;116.0540581;1.423291249;0.382206944;51;44854;14:55:10.000
13.91461837;52.94272003;57.74000168;370.8582547;233.9905475;187.4799259;145.5517117;4.305639112;123.4038554;1.440091272;0.388313123;52;44854;14:55:11.000
13.91457831;52.94270668;57.77899933;371.1561093;230.8480532;179.4144826;145.0389464;3.946752311;128.6048586;1.447137194;0.389899872;53;44854;14:55:12.000
13.91453832;52.94269168;57.80699921;370.3850911;220.8590498;191.9787357;161.485446;3.510551305;138.4286913;1.453983154;0.392559849;54;44854;14:55:13.000
13.91449998;52.94267667;57.83499908;365.0747822;208.6315086;183.0837822;156.7972082;3.147702402;152.6014775;1.465025038;0.401294504;55;44854;14:55:14.000
13.91445999;52.94266332;57.84799957;350.0461505;197.1688907;189.4400159;162.0751495;2.813334837;160.4741252;1.466300529;0.418887774;56;44854;14:55:15.000
13.91442;52.94264832;57.86500168;334.5550063;191.4471234;186.894619;155.7902064;2.785743639;158.2139847;1.472115409;0.440021934;57;44854;14:55:16.000
13.91438001;52.94263331;57.86800003;321.2037674;191.4757507;182.801018;162.910342;2.732840916;159.7499774;1.491636139;0.464389366;58;44854;14:55:17.000
13.91434002;52.94262002;57.8409996;312.2831866;205.9979581;144.8929663;143.0360286;2.754966159;159.008403;1.499852939;0.480286165;59;44854;14:55:18.000
13.91430168;52.94260502;57.87799835;314.8058813;221.2338006;133.1521722;142.6913899;2.710528922;161.4832346;1.491904715;0.473912593;60;44854;14:55:19.000
13.91426169;52.94259001;57.9090004;332.0217264;246.5656286;114.5980294;139.443771;2.601739841;178.8434624;1.495585776;0.450448166;61;44854;14:55:20.000
13.91422164;52.94257666;57.92399979;359.4946177;264.3840002;110.2390705;163.6462165;2.342379781;209.4473485;1.504091454;0.418390535;62;44854;14:55:21.000
13.91418165;52.94256166;57.98799896;386.5275852;279.2158145;106.0326844;180.0918961;2.059057142;270.1575268;1.498277162;0.387624899;63;44854;14:55:22.000
13.91414166;52.94254665;57.98199844;411.9640618;286.05124;113.0568839;211.120908;1.821177224;313.1316936;1.495386813;0.362989627;64;44854;14:55:23.000
13.91410332;52.94253165;57.99599838;429.0596174;297.2055632;119.3430307;223.7442985;1.606190019;342.8466581;1.49069375;0.347432778;65;44854;14:55:24.000
13.91406498;52.94251836;58.00899887;439.2922731;307.2217383;121.0335467;235.6680672;1.560347524;364.2443192;1.474723817;0.335704475;66;44854;14:55:25.000
13.91402499;52.94250336;58.00799942;437.7343986;325.13313;115.7764934;236.7098622;1.542211896;370.3764793;1.465558314;0.334805379;67;44854;14:55:26.000
13.91398665;52.94249001;58.01800156;434.7343305;343.3007459;111.5605464;216.6135376;1.677946911;333.1418673;1.465394716;0.337078214;68;44854;14:55:27.000
13.91394831;52.942475;58.03099823;431.9981859;360.2115291;111.2299233;197.5476527;1.747332322;320.4210563;1.463898523;0.338866822;69;44854;14:55:28.000
13.91390998;52.94246165;58.03300095;427.23178;354.4641224;119.950206;219.8202013;1.995510459;308.8368016;1.470556168;0.344205707;70;44854;14:55:29.000
13.91387164;52.94244665;58.05599976;403.8402913;326.5980062;136.6542573;191.7456965;2.155589402;279.3916996;1.488438927;0.36857118;71;44854;14:55:30.000
13.91383502;52.94242999;58.06299973;360.6491351;290.7125818;153.2507771;190.2172645;2.387516627;250.5311694;1.50690316;0.417830798;72;44854;14:55:31.000
13.91380501;52.94241333;58.08100128;305.3508428;235.6361065;168.8935414;183.7144578;2.566022225;229.1508895;1.524832069;0.499370513;73;44854;14:55:32.000
13.91378333;52.94239165;58.09400177;241.041925;175.3363518;174.731141;169.5889285;2.765040415;197.3036671;1.541015645;0.639314362;74;44854;14:55:33.000
13.91377831;52.94236666;58.02999878;175.508616;130.7862045;168.7996891;164.4383582;2.89351915;172.6062701;1.556943659;0.887103832;75;44854;14:55:34.000
13.91378498;52.94234002;57.96300125;126.2007313;99.74117186;158.875327;158.5598962;3.104871412;167.913963;1.582445283;1.253911342;76;44854;14:55:35.000
13.91379833;52.94231669;57.92699814;103.1924687;70.33503842;160.4657369;163.4988849;3.279010203;168.3827049;1.614129409;1.564193037;77;44854;14:55:36.000
13.91381499;52.94229336;57.88000107;93.77123269;62.94476884;172.2602481;164.0477749;3.429212306;183.9137222;1.639587654;1.748497494;78;44854;14:55:37.000
13.91383336;52.94227003;57.87099838;94.30456484;66.60105883;183.5124253;188.665322;3.660979804;218.1206588;1.661428894;1.761769324;79;44854;14:55:38.000
13.91385167;52.94224834;57.84999847;100.324339;74.76148143;210.3527077;213.9354829;3.847111259;248.4932593;1.68093772;1.675503408;80;44854;14:55:39.000
13.91386999;52.94222501;57.88000107;109.6589301;93.02265506;252.5140351;265.6700876;3.899694761;280.4336459;1.676457196;1.528792224;81;44854;14:55:40.000
13.91389497;52.94220333;57.88899994;117.0773658;109.6095091;280.4743158;284.8742334;3.957996762;339.2522406;1.664988479;1.422126701;82;44854;14:55:41.000
13.9139267;52.9421833;57.9620018;126.1810109;120.664573;299.044112;318.5732793;3.88403359;390.4870575;1.667473431;1.321493163;83;44854;14:55:42.000
