E,N,H,Rho1,Rho2,Rho3,Rho4,Rho6,Gamma
14.05234667,52.40123167,56.40100098,118.1493578,119.6062685,142.8110719,206.3599144,190.2641133,1.240854794
14.05236333,52.40123666,56.43799973,122.9327197,130.1129455,160.449421,254.7254193,231.4605354,1.244947667
14.05238,52.40124,56.50600052,126.6933385,142.3969747,183.4539576,309.4900987,278.8438642,1.252065367
14.052395,52.40124334,56.53699875,131.0087334,156.0193345,212.5789966,363.4789432,331.0778841,1.25794648
14.05241,52.40124833,56.58800125,134.7586688,172.4065818,247.3859555,432.9503686,382.8606194,1.259655064
14.052425,52.40125332,56.61999893,142.0188448,192.6817812,285.2242326,506.2480773,428.9166022,1.24657905
14.05244,52.40126,56.81900024,153.7362941,217.1985243,326.7590865,580.2166102,464.1502327,1.231882315
14.05245833,52.40126499,56.88399887,171.9250639,247.3625148,368.2672096,636.9483152,489.2605012,1.228090284
14.05248,52.40126832,56.94100189,196.7175466,279.8861901,405.7426029,687.3035959,510.9461473,1.216347709
14.05250333,52.40127166,56.99900055,226.7074114,314.5184112,442.7843896,726.9778089,525.360795,1.196989875
14.05252667,52.40127335,57.01699829,258.9930913,348.6602281,477.5784043,771.4434627,498.9946755,1.175906504
14.05255167,52.40127335,57.05799866,289.9235324,379.0871134,499.3063806,748.7095489,447.1940491,1.152573209
14.05257833,52.40127166,57.09299851,316.0920606,395.4014599,479.0923478,703.7895965,372.4403419,1.128292911
14.052605,52.40127001,57.12200165,329.7127776,382.1827897,430.2677272,598.1708223,280.0922987,1.109828994
14.05263333,52.40126832,57.11399841,322.1534329,344.6937011,353.6852489,463.9347296,181.8846611,1.100244971
14.052665,52.40126667,57.13399887,293.8590532,285.5575755,261.11121,301.4060676,119.9753407,1.107114869
14.05269667,52.40126333,57.16400147,249.7030416,214.9814144,168.4256449,197.5961497,80.54201516,1.123038597
14.05273,52.40126,57.18399811,196.1946116,146.4028587,110.0843267,112.9344175,63.09399768,1.145034382
14.052765,52.40125666,57.13199997,143.5829377,100.3702721,74.95749421,89.36610868,60.87455426,1.177016538
14.0528,52.40125332,57.11199951,103.7370059,71.76291963,59.68291834,84.29851364,73.68839472,1.201476094
14.052835,52.40125001,57.06800079,78.44377691,59.69434242,60.70478218,100.9474802,98.20716744,1.21758721
