E,N,H,Rho.1,Rho.2,Rho.3,Rho.4,Rho.6,Gamma
14.05227,52.40121501,56.25,98.37842313,90.81419307,110.0689127,100.8208254,88.2782457,1.306473907
14.05227833,52.40121667,56.31700134,96.83027859,94.50618804,104.7535304,143.0807369,103.2543178,1.307326215
14.05229,52.40121832,56.34600067,100.6111013,90.85151157,89.97741662,263.8633954,131.9381756,1.337635822
14.05230333,52.40122166,56.33800125,110.7327822,88.97889975,79.19536653,114.8706402,82.67795567,1.343782977
14.05231834,52.401225,56.3199997,110.4256626,89.78717014,95.64547896,126.877169,77.91012832,1.280894019
14.05233167,52.40122833,56.34400177,117.9713604,113.0906629,110.8891085,271.3099932,112.089089,1.285597113
14.05234667,52.40123167,56.40100098,98.12141352,87.2190374,105.7983436,165.209308,104.2268762,1.269555872
14.05236333,52.40123666,56.43799973,109.1612341,101.2866272,97.42040605,40.07343634,88.84325614,1.206281696
14.05238,52.40124,56.50600052,105.9188397,91.91532153,103.3696174,64.92291056,80.7608109,1.20419483
14.052395,52.40124334,56.53699875,139.8362016,123.6491011,127.2822249,101.4880379,120.5234827,1.230804742
14.05241,52.40124833,56.58800125,129.4304202,133.1221208,144.6503486,152.7020476,120.8499291,1.293436829
14.052425,52.40125332,56.61999893,152.8814676,156.7410871,158.1542351,299.6027996,169.4521798,1.290020239
14.05244,52.40126,56.81900024,115.4343513,145.8472193,174.0667069,243.7313215,162.7994115,1.241870197
14.05245833,52.40126499,56.88399887,125.6692447,154.3023765,185.6898732,392.0868679,229.0302252,1.233600391
14.05248,52.40126832,56.94100189,140.4468665,191.181999,253.951281,272.6413117,259.0243952,1.239347665
14.05250333,52.40127166,56.99900055,155.2435959,194.8938301,263.0534278,339.539495,311.3028034,1.22805676
14.05252667,52.40127335,57.01699829,202.2012066,274.656449,361.3686296,557.9411881,457.7338919,1.216536563
14.05255167,52.40127335,57.05799866,213.5104351,259.2829191,418.6847211,667.4320583,480.9537974,1.222910043
14.05257833,52.40127166,57.09299851,267.4416558,322.8579888,390.8184074,766.1308101,526.7231382,1.174887512
14.052605,52.40127001,57.12200165,308.3686909,368.4936702,439.6240559,854.3490777,471.6892056,1.142558496
14.05263333,52.40126832,57.11399841,340.2746594,385.1149973,447.2673767,561.1605854,458.1813574,1.122639905
14.052665,52.40126667,57.13399887,372.1464873,441.3902399,551.9920221,765.0344114,559.6504481,1.099870087
14.05269667,52.40126333,57.16400147,348.9785034,408.9281942,553.8624847,626.3795464,534.6804648,1.101508557
14.05273,52.40126,57.18399811,360.1299799,476.2107707,607.4636448,935.1456373,578.6156659,1.082567923
14.052765,52.40125666,57.13199997,349.0392858,443.1976364,567.9700938,1351.800837,641.6505867,1.094638385
14.0528,52.40125332,57.11199951,236.5480543,268.0831147,356.7533742,943.092059,455.0013252,1.156989392
14.052835,52.40125001,57.06800079,108.2325935,79.55864401,72.21345044,105.7461867,72.91510008,1.17948873
14.05287,52.40124668,56.99599838,65.28898685,63.96442946,69.54319302,206.1342861,78.79564403,1.211487482
14.05290167,52.40124334,56.87200165,51.27370319,38.75154318,40.75986375,13.72184352,37.65802779,1.242478699
14.05293833,52.40123835,56.82600021,56.18437206,51.01366805,45.06014858,157.2978703,58.36169452,1.216936166
14.05297667,52.40123167,56.70999908,61.80296491,59.24981556,57.10786807,76.09572244,58.77604758,1.237544971
14.05301667,52.40122668,56.57400131,55.7793522,59.21054172,61.74880647,114.9655221,57.35628084,1.244314432
14.05305833,52.40122166,56.45700073,62.71638557,59.08043769,61.66418777,36.55186842,53.95967562,1.216359741
14.05310167,52.40121501,56.36899948,74.72842408,63.27353208,58.95809945,112.8755713,58.36788469,1.196800925
14.05314667,52.40120999,56.25299835,214.6387573,287.1122913,349.6969211,433.733915,279.1669889,1.175108609
14.053195,52.40120335,56.18799973,200.7391436,312.1397553,459.0063023,588.6129872,569.983033,1.171135815
14.05324334,52.40119832,56.11299896,215.7033073,235.6401061,292.168025,499.0241197,369.2643458,1.167548438
14.05329167,52.40119168,56.11700058,216.6891197,279.2077505,376.8460048,483.2252308,482.3617985,1.125672806
14.05334,52.40118666,56.17900085,202.5687757,271.6124246,364.8812243,596.4874279,487.6265926,1.126815665
14.05338667,52.40118001,56.29199982,202.4057325,268.9075125,374.9646393,474.2347875,451.4487724,1.161506726
14.05343334,52.40117499,56.41699982,246.9003577,311.4371331,402.6127868,441.4688443,453.1540583,1.173509427
14.05348167,52.40116835,56.57099915,234.9323647,281.0626561,354.8290784,479.8577075,425.0445587,1.180266928
14.05352833,52.40116332,56.73699951,166.8527246,184.3221799,208.6175917,242.598837,199.2180698,1.179319373
14.05357667,52.40115668,56.90000153,135.9286937,111.4561658,106.0714286,110.411159,100.1603051,1.194794916
14.05362334,52.40115166,57.09299851,94.88960722,80.23753843,75.89266576,158.0087409,70.58919325,1.227031635
