E;N;H;Rho1;Rho2;Rho3;Rho4;Rho5;Rho6;Gamma;BFI;lfd. Nr.;Datum;Zeit
13.29672667;52.17938;35.25699997;78.60995126;68.54205506;66.87308914;58.20795993;;63.81820432;0.836669226;1.064329913;4;44889;11:42:22.000
13.29675001;52.17935667;35.27399826;73.32149433;64.94141261;65.08888657;60.24452464;;65.17036479;0.843052849;1.149803147;5;44889;11:42:23.000
13.29677334;52.17933334;35.24700165;69.55351186;62.63134095;64.48326844;60.06264544;;64.16506316;0.834503324;1.199800415;6;44889;11:42:24.000
13.29679499;52.17931;35.23099899;67.68993686;61.80666779;65.0551808;60.67611594;;62.36388338;0.830741168;1.227274254;7;44889;11:42:25.000
13.29681667;52.179285;35.25899887;67.34554437;62.80819098;66.34335733;61.2782635;;60.82959262;0.836428922;1.241995932;8;44889;11:42:26.000
13.29683501;52.17926167;35.26699829;69.24527014;65.36854932;68.8778799;62.23952222;;59.71057456;0.82973766;1.198258969;9;44889;11:42:27.000
13.29685501;52.17923834;35.27299881;72.11506248;69.15932409;71.42201496;65.08605632;;58.66085853;0.825523412;1.144730911;10;44889;11:42:28.000
13.29687665;52.179215;35.31299973;75.76609863;72.94031734;72.97615419;65.09019077;;58.66766906;0.833017051;1.099458816;11;44889;11:42:29.000
13.29689668;52.17919;35.29199982;78.23718087;75.21795908;73.50335527;65.19000453;;58.73256818;0.836380228;1.069031653;12;44889;11:42:30.000
13.29691668;52.17916834;35.17699814;78.82241072;75.17793903;73.38199797;62.75702146;;57.85930265;0.837378281;1.062360658;13;44889;11:42:31.000
13.29693667;52.17914667;35.16500092;76.63109994;74.13593924;72.32075286;63.86686653;;57.19953901;0.844027758;1.101416734;14;44889;11:42:32.000
13.29695667;52.17912501;35.15100098;73.90334027;72.15778917;70.92882725;59.9670414;;56.98551845;0.84929994;1.149203726;15;44889;11:42:33.000
13.29697666;52.17910167;35.14799881;70.4468261;70.03127996;70.3252247;61.26928473;;56.94697301;0.8425233;1.195970559;16;44889;11:42:34.000
13.29699666;52.17907999;35.15000153;67.894373;69.2845006;70.6701086;60.25981907;;57.01794402;0.836243377;1.231682893;17;44889;11:42:35.000
13.29701665;52.17905666;35.15299988;67.67069443;70.2401494;71.00243227;57.94904123;;58.54958635;0.832818625;1.230693186;18;44889;11:42:36.000
13.29703668;52.17903333;35.13999939;69.52618411;70.92512715;71.43376631;64.94611005;;60.00649018;0.829185018;1.192622648;19;44889;11:42:37.000
13.29705668;52.17900999;35.14699936;71.58588134;71.66523103;71.87952886;61.73665669;;61.03775134;0.832789777;1.163343612;20;44889;11:42:38.000
13.29707499;52.17898666;35.14699936;73.93933944;72.18937139;71.45323195;62.32897833;;62.05461592;0.842448294;1.13937763;21;44889;11:42:39.000
